City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,STATION,NAME,Precipitation,AvgTemp,MaxTemp,MinTemp
Bangalore,2018-01-01,68,37.4,73.44,56.44,77.52,0.71,64.6,IN009010100,"BANGALORE, IN",,72,83.0,62.0
Bangalore,2018-01-02,76,41.8,82.08,63.08,86.64,0.8,72.2,IN009010100,"BANGALORE, IN",,72,84.0,64.0
Bangalore,2018-01-03,70,38.5,75.6,58.1,79.8,0.74,66.5,IN009010100,"BANGALORE, IN",,72,84.0,65.0
Bangalore,2018-01-04,78,42.9,84.24,64.74,88.92,0.82,74.1,IN009010100,"BANGALORE, IN",,71,82.0,63.0
Bangalore,2018-01-05,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",,69,83.0,60.0
Bangalore,2018-01-06,90,49.5,97.2,74.7,102.6,0.95,85.5,IN009010100,"BANGALORE, IN",,68,81.0,58.0
Bangalore,2018-01-07,91,50.05,98.28,75.53,103.74,0.96,86.45,IN009010100,"BANGALORE, IN",,69,81.0,59.0
Bangalore,2018-01-08,82,45.1,88.56,68.06,93.48,0.86,77.9,IN009010100,"BANGALORE, IN",,68,81.0,59.0
Bangalore,2018-01-09,76,41.8,82.08,63.08,86.64,0.8,72.2,IN009010100,"BANGALORE, IN",,70,80.0,60.0
Bangalore,2018-01-10,76,41.8,82.08,63.08,86.64,0.8,72.2,IN009010100,"BANGALORE, IN",,71,81.0,65.0
Bangalore,2018-01-11,75,41.25,81.0,62.25,85.5,0.79,71.25,IN009010100,"BANGALORE, IN",,73,83.0,63.0
Bangalore,2018-01-12,81,44.55,87.48,67.23,92.34,0.85,76.95,IN009010100,"BANGALORE, IN",,73,85.0,66.0
Bangalore,2018-01-13,86,47.3,92.88,71.38,98.04,0.9,81.7,IN009010100,"BANGALORE, IN",,74,,64.0
Bangalore,2018-01-14,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",,74,88.0,61.0
Bangalore,2018-01-15,93,51.15,100.44,77.19,106.02,0.98,88.35,IN009010100,"BANGALORE, IN",,72,87.0,61.0
Bangalore,2018-01-16,88,48.4,95.04,73.04,100.32,0.92,83.6,IN009010100,"BANGALORE, IN",,73,87.0,63.0
Bangalore,2018-01-17,95,52.25,102.6,78.85,108.3,1.0,90.25,IN009010100,"BANGALORE, IN",,71,86.0,62.0
Bangalore,2018-01-18,101,55.55,109.08,83.83,115.14,1.06,95.95,IN009010100,"BANGALORE, IN",,70,83.0,60.0
Bangalore,2018-01-19,100,55.0,108.0,83.0,114.0,1.05,95.0,IN009010100,"BANGALORE, IN",,69,84.0,58.0
Bangalore,2018-01-20,103,56.65,111.24,85.49,117.42,1.08,97.85,IN009010100,"BANGALORE, IN",,69,82.0,58.0
Bangalore,2018-01-21,98,53.9,105.84,81.34,111.72,1.03,93.1,IN009010100,"BANGALORE, IN",,70,83.0,58.0
Bangalore,2018-01-22,90,49.5,97.2,74.7,102.6,0.95,85.5,IN009010100,"BANGALORE, IN",,69,84.0,58.0
Bangalore,2018-01-23,98,53.9,105.84,81.34,111.72,1.03,93.1,IN009010100,"BANGALORE, IN",,72,84.0,60.0
Bangalore,2018-01-24,101,55.55,109.08,83.83,115.14,1.06,95.95,IN009010100,"BANGALORE, IN",,72,85.0,63.0
Bangalore,2018-01-25,96,52.8,103.68,79.68,109.44,1.01,91.2,IN009010100,"BANGALORE, IN",,73,84.0,63.0
Bangalore,2018-01-26,92,50.6,99.36,76.36,104.88,0.97,87.4,IN009010100,"BANGALORE, IN",,71,86.0,61.0
Bangalore,2018-01-27,94,51.7,101.52,78.02,107.16,0.99,89.3,IN009010100,"BANGALORE, IN",,71,84.0,61.0
Bangalore,2018-01-28,105,57.75,113.4,87.15,119.7,1.1,99.75,IN009010100,"BANGALORE, IN",,71,83.0,
